Round,Date,Time,Team 1,Team 2,FT,HT
13,1969-11-15,15:30,Eintracht Frankfurt,Hertha BSC,1-1,0-0
13,1969-11-15,15:30,Borussia Dortmund,TSV 1860 München,3-1,0-1
13,1969-11-15,15:30,Bayern München,1. FC Köln,1-2,0-1
14,1969-11-28,20:00,Alemannia Aachen,Borussia Dortmund,3-1,1-0
14,1969-11-28,20:00,MSV Duisburg,Werder Bremen,1-1,0-0
14,1969-11-29,15:30,TSV 1860 München,Eintracht Braunschweig,1-0,1-0
14,1969-11-29,15:30,Hannover 96,Bayern München,0-1,0-1
14,1969-11-29,15:30,Rot-Weiss Essen,Rot-Weiss Oberhausen,1-0,0-0
14,1969-11-29,15:30,Hamburger SV,FC Schalke 04,1-1,1-0
14,1969-11-29,15:30,1. FC Köln,Bor. Mönchengladbach,0-1,0-0
14,1969-11-29,15:30,Hertha BSC,1. FC Kaiserslautern,3-0,2-0
14,1969-11-29,15:30,VfB Stuttgart,Eintracht Frankfurt,4-0,2-0
15,1969-12-05,20:00,Bor. Mönchengladbach,Hannover 96,5-0,1-0
15,1969-12-05,20:00,Borussia Dortmund,Hertha BSC,0-0,0-0
15,1969-12-05,20:00,Eintracht Braunschweig,Alemannia Aachen,3-0,2-0
15,1969-12-06,15:30,Rot-Weiss Essen,MSV Duisburg,0-0,0-0
15,1969-12-06,15:30,Bayern München,Hamburger SV,2-1,1-0
15,1969-12-06,15:30,Eintracht Frankfurt,1. FC Köln,0-0,0-0
15,1969-12-06,15:30,1. FC Kaiserslautern,VfB Stuttgart,3-2,1-2
15,1969-12-06,15:30,Werder Bremen,TSV 1860 München,1-1,0-1
15,1969-12-06,15:30,Rot-Weiss Oberhausen,FC Schalke 04,0-3,0-0
16,1969-12-12,20:00,Alemannia Aachen,Werder Bremen,0-0,0-0
16,1969-12-12,20:00,Hertha BSC,Eintracht Braunschweig,2-0,0-0
16,1969-12-13,15:30,Hamburger SV,Bor. Mönchengladbach,1-3,0-0
16,1969-12-13,15:30,Hannover 96,Eintracht Frankfurt,1-1,1-1
16,1969-12-13,15:30,VfB Stuttgart,Borussia Dortmund,2-1,1-0
16,1969-12-13,15:30,Rot-Weiss Oberhausen,Bayern München,3-3,2-2
16,1969-12-13,15:30,1. FC Köln,1. FC Kaiserslautern,6-1,4-1
16,1969-12-13,15:30,TSV 1860 München,MSV Duisburg,2-2,1-0
16,1969-12-13,15:30,FC Schalke 04,Rot-Weiss Essen,5-3,1-3
17,1969-12-19,20:00,Borussia Dortmund,1. FC Köln,1-0,0-0
17,1969-12-19,20:00,1. FC Kaiserslautern,Hannover 96,5-2,2-0
17,1969-12-19,20:00,Bor. Mönchengladbach,Rot-Weiss Oberhausen,6-1,3-0
17,1969-12-20,15:30,Eintracht Braunschweig,VfB Stuttgart,1-0,0-0
17,1969-12-20,15:30,Eintracht Frankfurt,Hamburger SV,2-2,0-0
17,1969-12-20,15:30,Werder Bremen,Hertha BSC,1-0,1-0
17,1969-12-20,15:30,MSV Duisburg,Alemannia Aachen,2-1,1-0
17,1969-12-20,15:30,Rot-Weiss Essen,TSV 1860 München,3-0,1-0
17,1970-02-25,20:00,Bayern München,FC Schalke 04,6-0,3-0
18,1970-03-10,20:00,TSV 1860 München,Alemannia Aachen,0-0,0-0
18,1970-03-10,20:00,MSV Duisburg,Hertha BSC,1-3,1-3
18,1970-03-10,20:00,Werder Bremen,VfB Stuttgart,1-1,0-0
18,1970-03-10,20:00,Eintracht Braunschweig,1. FC Köln,1-2,0-2
18,1970-03-10,20:00,Borussia Dortmund,Hannover 96,2-1,0-1
18,1970-03-10,20:00,Rot-Weiss Essen,Bayern München,1-1,0-1
18,1970-03-11,20:00,Bor. Mönchengladbach,FC Schalke 04,2-0,1-0
18,1970-03-18,20:00,Eintracht Frankfurt,Rot-Weiss Oberhausen,5-1,1-1
18,1970-04-01,20:00,1. FC Kaiserslautern,Hamburger SV,1-1,0-1
19,1970-01-17,15:30,FC Schalke 04,Eintracht Frankfurt,0-0,0-0
19,1970-01-17,15:30,Alemannia Aachen,Rot-Weiss Essen,0-0,0-0
19,1970-01-17,15:30,Rot-Weiss Oberhausen,1. FC Kaiserslautern,0-0,0-0
19,1970-03-03,20:00,Hannover 96,Eintracht Braunschweig,0-2,0-0
19,1970-03-18,20:00,VfB Stuttgart,MSV Duisburg,4-3,1-0
19,1970-03-18,20:00,Hamburger SV,Borussia Dortmund,4-3,1-2
19,1970-03-18,20:00,1. FC Köln,Werder Bremen,3-0,2-0
19,1970-03-25,20:00,Hertha BSC,TSV 1860 München,4-2,3-2
19,1970-04-15,20:00,Bayern München,Bor. Mönchengladbach,1-0,1-0
20,1970-01-24,15:30,TSV 1860 München,VfB Stuttgart,4-1,2-1
20,1970-01-24,15:30,Borussia Dortmund,Rot-Weiss Oberhausen,3-2,2-0
20,1970-01-24,15:30,Alemannia Aachen,Hertha BSC,2-4,2-2
20,1970-03-03,20:00,Eintracht Frankfurt,Bayern München,2-1,0-0
20,1970-04-01,20:00,Werder Bremen,Hannover 96,1-0,1-0
20,1970-04-14,20:00,MSV Duisburg,1. FC Köln,1-1,1-0
20,1970-04-21,20:00,Eintracht Braunschweig,Hamburger SV,3-0,1-0
20,1970-04-21,20:00,Rot-Weiss Essen,Bor. Mönchengladbach,1-0,0-0
20,1970-04-21,20:00,1. FC Kaiserslautern,FC Schalke 04,1-1,0-1
21,1970-01-31,15:30,Bor. Mönchengladbach,Eintracht Frankfurt,1-2,0-0
21,1970-01-31,15:30,Hannover 96,MSV Duisburg,0-0,0-0
21,1970-01-31,15:30,Bayern München,1. FC Kaiserslautern,1-1,0-1
21,1970-01-31,15:30,1. FC Köln,TSV 1860 München,2-1,2-0
21,1970-01-31,15:30,Rot-Weiss Oberhausen,Eintracht Braunschweig,2-1,2-0
21,1970-01-31,15:30,VfB Stuttgart,Alemannia Aachen,5-0,2-0
21,1970-01-31,15:30,FC Schalke 04,Borussia Dortmund,1-1,1-0
21,1970-02-25,20:00,Hertha BSC,Rot-Weiss Essen,4-0,1-0
21,1970-04-14,20:00,Hamburger SV,Werder Bremen,2-2,0-0
22,1970-02-07,15:30,Rot-Weiss Essen,Eintracht Frankfurt,1-1,0-0
22,1970-02-07,15:30,1. FC Kaiserslautern,Bor. Mönchengladbach,1-4,1-1
22,1970-02-07,15:30,Borussia Dortmund,Bayern München,1-3,0-1
22,1970-02-07,15:30,MSV Duisburg,Hamburger SV,0-0,0-0
22,1970-02-07,15:30,Werder Bremen,Rot-Weiss Oberhausen,1-1,0-1
22,1970-02-07,15:30,Alemannia Aachen,1. FC Köln,1-3,0-1
22,1970-02-07,15:30,TSV 1860 München,Hannover 96,3-0,1-0
